"","Date","Site.ID","Daily.Max.8.hour.Ozone.Concentration","Daily.Mean.PM2.5.Concentration","STATE_CODE","COUNTY_CODE","SITE_LATITUDE","SITE_LONGITUDE","Ozone_AQI","PM2.5_AQI"
"237",2020-01-28,420030008,0.025,NA,42,3,40.46542033,-79.96075745,23,NA
"238",2020-01-29,420030008,0.032,NA,42,3,40.46542033,-79.96075745,30,NA
"239",2020-01-30,420030008,0.014,NA,42,3,40.46542033,-79.96075745,13,NA
"240",2020-01-31,420030008,0.011,NA,42,3,40.46542033,-79.96075745,10,NA
"241",2020-02-01,420030008,0.023,NA,42,3,40.46542033,-79.96075745,21,NA
"242",2020-02-02,420030008,0.032,NA,42,3,40.46542033,-79.96075745,30,NA
"243",2020-02-03,420030008,0.036,NA,42,3,40.46542033,-79.96075745,33,NA
"244",2020-02-04,420030008,0.034,NA,42,3,40.46542033,-79.96075745,31,NA
"245",2020-02-05,420030008,0.028,NA,42,3,40.46542033,-79.96075745,26,NA
"246",2020-02-06,420030008,0.017,NA,42,3,40.46542033,-79.96075745,16,NA
"247",2020-02-07,420030008,0.035,NA,42,3,40.46542033,-79.96075745,32,NA
"248",2020-02-08,420030008,0.03,NA,42,3,40.46542033,-79.96075745,28,NA
"249",2020-02-09,420030008,0.029,NA,42,3,40.46542033,-79.96075745,27,NA
"250",2020-02-10,420030008,0.032,NA,42,3,40.46542033,-79.96075745,30,NA
"251",2020-02-11,420030008,0.025,NA,42,3,40.46542033,-79.96075745,23,NA
"252",2020-02-12,420030008,0.023,NA,42,3,40.46542033,-79.96075745,21,NA
"253",2020-02-13,420030008,0.032,NA,42,3,40.46542033,-79.96075745,30,NA
"254",2020-02-14,420030008,0.034,NA,42,3,40.46542033,-79.96075745,31,NA
"255",2020-02-15,420030008,0.03,NA,42,3,40.46542033,-79.96075745,28,NA
"256",2020-02-16,420030008,0.028,NA,42,3,40.46542033,-79.96075745,26,NA
"257",2020-02-17,420030008,0.03,NA,42,3,40.46542033,-79.96075745,28,NA
"258",2020-02-18,420030008,0.032,NA,42,3,40.46542033,-79.96075745,30,NA
"259",2020-02-19,420030008,0.037,NA,42,3,40.46542033,-79.96075745,34,NA
"260",2020-02-20,420030008,0.035,NA,42,3,40.46542033,-79.96075745,32,NA
"261",2020-02-21,420030008,0.035,NA,42,3,40.46542033,-79.96075745,32,NA
"262",2020-02-22,420030008,0.038,NA,42,3,40.46542033,-79.96075745,35,NA
"263",2020-02-23,420030008,0.042,NA,42,3,40.46542033,-79.96075745,39,NA
"264",2020-02-24,420030008,0.038,NA,42,3,40.46542033,-79.96075745,35,NA
"265",2020-02-25,420030008,0.026,NA,42,3,40.46542033,-79.96075745,24,NA
"266",2020-02-26,420030008,0.032,NA,42,3,40.46542033,-79.96075745,30,NA
"267",2020-02-27,420030008,0.035,NA,42,3,40.46542033,-79.96075745,32,NA
"268",2020-02-28,420030008,0.038,NA,42,3,40.46542033,-79.96075745,35,NA
"269",2020-02-29,420030008,0.039,NA,42,3,40.46542033,-79.96075745,36,NA
"270",2020-03-01,420030008,0.039,NA,42,3,40.46542033,-79.96075745,36,NA
"271",2020-03-02,420030008,0.043,NA,42,3,40.46542033,-79.96075745,40,NA
"272",2020-03-03,420030008,0.036,NA,42,3,40.46542033,-79.96075745,33,NA
"273",2020-03-04,420030008,0.038,NA,42,3,40.46542033,-79.96075745,35,NA
"274",2020-03-05,420030008,0.035,NA,42,3,40.46542033,-79.96075745,32,NA
"275",2020-03-06,420030008,0.031,NA,42,3,40.46542033,-79.96075745,29,NA
"276",2020-03-07,420030008,0.039,NA,42,3,40.46542033,-79.96075745,36,NA
"277",2020-03-08,420030008,0.042,NA,42,3,40.46542033,-79.96075745,39,NA
"278",2020-03-09,420030008,0.049,NA,42,3,40.46542033,-79.96075745,45,NA
"279",2020-03-10,420030008,0.038,NA,42,3,40.46542033,-79.96075745,35,NA
"280",2020-03-11,420030008,0.024,NA,42,3,40.46542033,-79.96075745,22,NA
"281",2020-03-12,420030008,0.038,NA,42,3,40.46542033,-79.96075745,35,NA
"282",2020-03-13,420030008,0.043,NA,42,3,40.46542033,-79.96075745,40,NA
"283",2020-03-14,420030008,0.039,NA,42,3,40.46542033,-79.96075745,36,NA
"284",2020-03-15,420030008,0.037,NA,42,3,40.46542033,-79.96075745,34,NA
"285",2020-03-16,420030008,0.034,NA,42,3,40.46542033,-79.96075745,31,NA
"286",2020-03-17,420030008,0.027,NA,42,3,40.46542033,-79.96075745,25,NA
"287",2020-03-18,420030008,0.03,NA,42,3,40.46542033,-79.96075745,28,NA
"288",2020-03-19,420030008,0.027,NA,42,3,40.46542033,-79.96075745,25,NA
"289",2020-03-20,420030008,0.038,NA,42,3,40.46542033,-79.96075745,35,NA
"290",2020-03-21,420030008,0.037,NA,42,3,40.46542033,-79.96075745,34,NA
"291",2020-03-22,420030008,0.041,NA,42,3,40.46542033,-79.96075745,38,NA
"292",2020-03-23,420030008,0.036,NA,42,3,40.46542033,-79.96075745,33,NA
"293",2020-03-24,420030008,0.034,NA,42,3,40.46542033,-79.96075745,31,NA
"294",2020-03-25,420030008,0.032,NA,42,3,40.46542033,-79.96075745,30,NA
"295",2020-03-26,420030008,0.049,NA,42,3,40.46542033,-79.96075745,45,NA
"296",2020-03-27,420030008,0.043,NA,42,3,40.46542033,-79.96075745,40,NA
"297",2020-03-28,420030008,0.029,NA,42,3,40.46542033,-79.96075745,27,NA
"298",2020-03-29,420030008,0.05,NA,42,3,40.46542033,-79.96075745,46,NA
"299",2020-03-31,420030008,0.026,NA,42,3,40.46542033,-79.96075745,24,NA
"300",2020-04-01,420030008,0.043,NA,42,3,40.46542033,-79.96075745,40,NA
"301",2020-04-02,420030008,0.045,NA,42,3,40.46542033,-79.96075745,42,NA
"302",2020-04-03,420030008,0.046,NA,42,3,40.46542033,-79.96075745,43,NA
"303",2020-04-04,420030008,0.041,NA,42,3,40.46542033,-79.96075745,38,NA
"304",2020-04-05,420030008,0.045,NA,42,3,40.46542033,-79.96075745,42,NA
"305",2020-04-06,420030008,0.047,NA,42,3,40.46542033,-79.96075745,44,NA
"306",2020-04-07,420030008,0.037,NA,42,3,40.46542033,-79.96075745,34,NA
"307",2020-04-08,420030008,0.047,NA,42,3,40.46542033,-79.96075745,44,NA
"308",2020-04-09,420030008,0.044,NA,42,3,40.46542033,-79.96075745,41,NA
"309",2020-04-10,420030008,0.042,NA,42,3,40.46542033,-79.96075745,39,NA
"310",2020-04-11,420030008,0.046,NA,42,3,40.46542033,-79.96075745,43,NA
"311",2020-04-12,420030008,0.047,NA,42,3,40.46542033,-79.96075745,44,NA
"312",2020-04-13,420030008,0.034,NA,42,3,40.46542033,-79.96075745,31,NA
"313",2020-04-14,420030008,0.042,NA,42,3,40.46542033,-79.96075745,39,NA
"314",2020-04-15,420030008,0.045,NA,42,3,40.46542033,-79.96075745,42,NA
"315",2020-04-16,420030008,0.042,NA,42,3,40.46542033,-79.96075745,39,NA
"316",2020-01-01,420030067,0.036,NA,42,3,40.37564363,-80.16994346,33,NA
"317",2020-01-02,420030067,0.037,NA,42,3,40.37564363,-80.16994346,34,NA
